state_code,first_recovery_year,rvs_years_from_trough,fha_crisis,fha_full
CA,2010,1,0.19058342284835683,0.14350804908337036
CO,2010,1,0.25755065804236055,0.1854641929560456
IL,2010,1,0.17617903529970247,0.14686490069797092
MI,2010,1,0.24486090396212956,0.17976260919392373
OH,2010,1,0.24650361386470943,0.19857633275045913
TX,2010,1,0.27119850685228913,0.21831492593929236
WA,2010,1,0.18160473084964804,0.13778196522759079
AZ,2012,3,0.3188668392292206,0.22828868969334612
NV,2012,3,0.42935795358292395,0.2821969242580552
NY,2012,3,0.1958473316940671,0.16558428436861725
FL,2016,7,0.27430667774237233,0.19933310489248482
