as_of_year,state_code,action_taken,loan_type,loan_purpose,income_band,applicant_race_label,action_label,loan_type_label,loan_purpose_label,n_records
2008,OH,1,1,3,<50K,Asian,Originated,Conventional,Refinance,136
2012,GA,1,1,3,150K+,Not applicable,Originated,Conventional,Refinance,88
2014,CA,1,1,1,<50K,White,Originated,Conventional,Purchase,10022
2008,TX,1,4,1,80-100K,Black / African American,Originated,FSA/RHS,Purchase,2
2009,OH,1,3,1,<50K,Black / African American,Originated,VA,Purchase,116
2007,NY,1,2,1,<50K,Asian,Originated,FHA,Purchase,38
2007,FL,1,1,3,80-100K,Asian,Originated,Conventional,Refinance,493
2010,WA,1,1,3,<50K,Black / African American,Originated,Conventional,Refinance,176
2016,IL,1,2,1,<50K,Pacific Islander,Originated,FHA,Purchase,28
2012,MI,1,2,1,50-80K,Black / African American,Originated,FHA,Purchase,627
2014,FL,1,4,1,150K+,White,Originated,FSA/RHS,Purchase,2
2012,NM,1,2,3,50-80K,American Indian,Originated,FHA,Refinance,18
2012,AR,1,2,3,80-100K,Not provided,Originated,FHA,Refinance,16
2011,MI,1,2,3,50-80K,Not provided,Originated,FHA,Refinance,162
2014,IL,1,2,1,100-150K,American Indian,Originated,FHA,Purchase,16
2015,OH,1,3,3,<50K,Black / African American,Originated,VA,Refinance,55
2014,WA,1,4,3,80-100K,White,Originated,FSA/RHS,Refinance,1
2012,NE,1,1,1,100-150K,Pacific Islander,Originated,Conventional,Purchase,5
2010,WA,1,2,1,80-100K,Not provided,Originated,FHA,Purchase,335
2012,MD,1,1,3,150K+,Not applicable,Originated,Conventional,Refinance,12
2012,IL,1,2,1,<50K,Black / African American,Originated,FHA,Purchase,1099
2012,SC,1,4,3,50-80K,Not provided,Originated,FSA/RHS,Refinance,2
2012,UT,1,2,3,150K+,Pacific Islander,Originated,FHA,Refinance,50
2015,MI,1,2,3,150K+,Pacific Islander,Originated,FHA,Refinance,5
2013,OH,1,2,3,150K+,Pacific Islander,Originated,FHA,Refinance,14
2014,NV,1,3,1,150K+,Asian,Originated,VA,Purchase,14
2012,LA,1,1,3,50-80K,Pacific Islander,Originated,Conventional,Refinance,15
2012,MI,1,3,1,150K+,Black / African American,Originated,VA,Purchase,5
2015,IL,1,3,3,<50K,Pacific Islander,Originated,VA,Refinance,1
2017,WA,1,2,1,100-150K,American Indian,Originated,FHA,Purchase,76
2012,IN,1,2,3,80-100K,American Indian,Originated,FHA,Refinance,3
2007,NV,1,2,1,50-80K,White,Originated,FHA,Purchase,758
2007,NY,1,1,3,50-80K,American Indian,Originated,Conventional,Refinance,90
2014,MI,1,1,1,150K+,Pacific Islander,Originated,Conventional,Purchase,15
2012,WA,1,3,1,50-80K,Black / African American,Originated,VA,Purchase,134
2010,CA,1,2,1,50-80K,Pacific Islander,Originated,FHA,Purchase,505
2008,NV,1,3,3,<50K,Asian,Originated,VA,Refinance,1
2014,CA,1,1,1,150K+,Not applicable,Originated,Conventional,Purchase,227
2008,AZ,1,3,1,150K+,Black / African American,Originated,VA,Purchase,7
2017,MI,1,4,1,80-100K,Black / African American,Originated,FSA/RHS,Purchase,1
2009,MI,1,3,3,50-80K,Pacific Islander,Originated,VA,Refinance,1
2015,CO,1,3,1,50-80K,Black / African American,Originated,VA,Purchase,277
2012,NJ,1,3,1,80-100K,White,Originated,VA,Purchase,222
